"","Site","Age.cal.BP","Hill_N1","Abies","Acer","Aconitum","Adonis","Aesculus","Alnus","Alnus.alnobetula","Amaranthaceae","Amaryllidaceae","Amygdaloideae","Andromeda","Apiaceae","Aquilegia","Arbutus","Arctostaphylos","Argania","Artemisia","Asparagaceae","Asteraceae","Asteraceae..Liguliflorae.","Asteroideae","Astragalus","Berberis","Betula","Betula..Chamaebetula.","Boraginaceae","Brassicaceae","Bruckenthalia","Buxus","Calluna","Campanulaceae","Caprifoliaceae","Caragana","Carduoideae","Carpinus.betulus","Carpinus.orientalis.Ostrya","Caryophyllaceae","Cassiope","Castanea","Cedrus","Celastraceae","Celtis","Ceratonia","Cichorioideae","Cistaceae","Cistus","Clematis","Colchicaceae","Convolvulaceae","Cornus","Corylus","Cotinus","Crassulaceae","Crataegus","Cupressaceae","Cyperaceae","Cytinaceae","Daphne","Delphinium","Dennstaedtiaceae","Diapensia","Dryas","Empetrum","Ephedra","Equisetum","Erica","Ericaceae","Euonymus","Euphorbiaceae","Fabaceae","Fabaceae..herbs.","Fagus","Frangula","Fraxinus","Genisteae","Gentianaceae","Geraniaceae","Halimium","Hedera","Helianthemum","Helleborus","Hippophae","Huperzia","Hypericaceae","Ilex","Impatiens","Iridaceae","Jasminum","Juglans","Juncaceae","Kalmia","Lamiaceae","Larix","Lavandula","Ledum","Ligustrum","Liliaceae","Linaceae","Linnaea","Linum","Lonicera","Lycopodium","Lysimachia","Lythraceae","Malus","Malvaceae","Melanthiaceae","Mercurialis","Montiaceae","Moraceae","Myrica","Myrtaceae","Nartheciaceae","Nerium","Nitrariaceae","Olea","Oleaceae","Onagraceae","Ononis","Ophioglossaceae","Orobanchaceae","Osmundaceae","Oxalidaceae","Oxyria.Rumex","Paliurus","Papaveraceae","Parrotia","Phillyrea","Picea","Picea.orientalis","Pinus..diploxylon.","Pinus..haploxylon.","Pistacia","Plantaginaceae","Platanus","Plumbaginaceae","Poaceae","Polemoniaceae","Polygalaceae","Polygonaceae","Polygonum","Polypodiales","Populus","Portulacaceae","Potentilla","Primulaceae","Prunus","Pteridaceae","Pterocarya","Quercus.deciduous","Quercus.evergreen","Quercus.intermediate","Ranunculaceae","Ranunculus","Resedaceae","Rhamnaceae","Rhamnus","Rhododendron","Rhus","Ribes","Rosaceae","Rosmarinus","Rubiaceae","Rubus","Ruscus","Salix","Salvia","Sambucus","Sanguisorba.group","Santalaceae","Saxifragaceae","Scrophulariaceae","Solanaceae","Sorbus","Styrax","Tamarix","Taxus","Teucrium","Thalictrum","Thymelaeaceae","Tilia","Tofieldia","Trollius","Ulmus","Ulmus.Zelkova","Urticaceae","Vaccinium","Valerianaceae","Verbenaceae","Viburnum","Violaceae","Viscum","Vitex","Ziziphus","Zygophyllaceae"
"704","Banolas",15133,4.28795413399109,0,0,0,0,0,0,0,0.05078125,0,0,0,0.0234375,0,0,0,0,0.37890625,0,0,0,0.00390625,0,0,0.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01953125,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0.01953125,0,0,0.00390625,0,0,0.43359375,0,0,0,0,0,0,0,0,0,0,0,0,0.01953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"705","Banolas",15559,4.08856537410231,0,0,0,0,0,0,0,0.0495867768595041,0,0,0,0.0247933884297521,0,0,0,0,0.487603305785124,0,0,0,0.012396694214876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012396694214876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371900826446281,0,0.0165289256198347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413223140495868,0,0,0,0,0,0,0.0165289256198347,0,0,0.00826446280991736,0,0,0.326446280991736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"706","Banolas",15843,4.88457310292136,0,0.00452488687782805,0,0,0,0.00452488687782805,0,0.0271493212669683,0,0,0,0.0407239819004525,0,0,0,0,0.416289592760181,0,0,0,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452488687782805,0,0,0,0,0,0,0.0271493212669683,0,0,0,0,0,0,0,0,0,0,0.00904977375565611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452488687782805,0,0.0271493212669683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678733031674208,0,0,0,0,0,0.343891402714932,0,0,0,0,0,0,0,0,0,0,0,0,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0.0135746606334842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"707","Banolas",16056,5.24856201961364,0,0,0,0,0,0,0,0.0394088669950739,0,0,0,0.00985221674876847,0,0,0,0,0.354679802955665,0,0,0,0.00985221674876847,0,0,0,0,0,0.0147783251231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985221674876847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985221674876847,0,0.0197044334975369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985221674876847,0,0,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0.349753694581281,0,0,0.00492610837438424,0,0,0.142857142857143,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0.00492610837438424,0,0,0,0,0,0,0,0,0,0,0,0,0.00985221674876847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708","Banolas",16340,3.83576643054758,0,0.00125944584382872,0,0,0,0.00125944584382872,0,0.0113350125944584,0,0,0,0.0113350125944584,0,0,0,0,0.435768261964736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100755667506297,0,0,0,0,0,0,0,0,0,0,0.00755667506297229,0,0,0,0,0,0,0,0,0.00125944584382872,0,0,0,0,0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0.00755667506297229,0,0.00629722921914358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125944584382872,0,0,0,0,0,0,0,0.00251889168765743,0,0,0,0,0,0,0.392947103274559,0,0,0.00503778337531486,0,0,0.0919395465994962,0,0,0,0,0,0,0,0,0,0,0,0,0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0.00881612090680101,0,0,0,0,0,0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"709","Banolas",16766,4.79300475481268,0,0.00327332242225859,0,0,0,0,0,0.016366612111293,0,0,0,0.0114566284779051,0,0,0,0,0.343698854337152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654664484451719,0,0,0,0,0,0,0,0,0,0,0.00490998363338789,0,0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00981996726677578,0,0.00327332242225859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0,0,0.268412438625205,0,0,0.0229132569558101,0,0,0.27823240589198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0.016366612111293,0,0,0,0,0,0.00981996726677578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"710","Banolas",17121,4.35369828317013,0,0.00203252032520325,0,0,0,0,0,0.0121951219512195,0,0,0,0.0101626016260163,0,0,0,0,0.402439024390244,0,0,0,0.00203252032520325,0,0,0.00203252032520325,0,0,0,0,0,0,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0.00813008130081301,0,0,0,0,0,0,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0,0.00203252032520325,0,0,0,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34349593495935,0,0,0.00813008130081301,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0.0121951219512195,0,0,0,0,0,0.00609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"711","Banolas",17547,6.06298757167251,0,0.00380228136882129,0,0,0,0,0,0.026615969581749,0,0,0,0.0190114068441065,0,0,0,0,0.406844106463878,0,0,0,0.0114068441064639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114068441064639,0,0,0,0,0,0,0,0,0,0,0.00380228136882129,0,0,0,0,0,0,0,0,0.00380228136882129,0,0,0,0,0,0.00380228136882129,0,0,0,0,0,0,0,0,0,0.0114068441064639,0,0.0190114068441065,0,0,0,0,0,0,0,0,0,0.00380228136882129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00380228136882129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190114068441065,0,0,0.0304182509505703,0,0,0.220532319391635,0,0,0,0,0,0,0,0,0,0,0,0,0.00380228136882129,0.00380228136882129,0,0,0,0,0,0,0,0,0,0,0,0.00760456273764259,0,0,0.00760456273764259,0,0,0.00760456273764259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"712","Banolas",17902,3.00883918484671,0,0,0,0,0,0,0,0.016,0,0,0,0.0224,0,0,0,0,0.7376,0,0,0,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0.0048,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224,0,0,0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0,0,0,0,0,0,0.0144,0,0,0.016,0,0,0.1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208,0,0,0,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"713","Banolas",18150,4.41493789466965,0,0,0,0,0,0,0,0.0165016501650165,0,0,0,0.0214521452145215,0,0,0,0,0.594059405940594,0,0,0,0.0066006600660066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0.0214521452145215,0,0,0,0,0,0,0,0,0,0,0.00825082508250825,0,0,0,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0,0.0181518151815182,0,0.0165016501650165,0,0,0,0,0,0,0,0,0,0.00165016501650165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00165016501650165,0,0,0,0,0,0,0,0.00165016501650165,0,0,0,0,0,0,0.0181518151815182,0,0,0.0742574257425743,0,0,0.173267326732673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132013201320132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
